season	baker	index	episode	mean_star	star	mean_good	good	mean_bad	bad	place
10	Alice	0	1	0	0	0	0	0	0	0
10	Alice	0	2	0.5	1	0.5	1	0	0	0
10	Amelia	1	1	0	0	0	0	0	0	0
10	Amelia	1	2	0	0	0	0	0.5	1	0
10	Dan	12	1	0	0	0	0	1	1	13
10	Dan	12	2	0	0	0	0	0.5	0	13
10	David	2	1	0	0	0	0	0	0	0
10	David	2	2	0	0	0.5	1	0	0	0
10	Helena	3	1	0	0	0	0	0	0	0
10	Helena	3	2	0	0	0	0	0	0	0
10	Henry	4	1	0	0	0	0	0	0	0
10	Henry	4	2	0	0	0	0	0	0	0
10	Jamie	11	1	0	0	0	0	1	1	12
10	Jamie	11	2	0	0	0	0	1	1	12
10	Michael	5	1	1	1	1	1	0	0	0
10	Michael	5	2	0.5	0	0.5	0	0	0	0
10	Michelle	6	1	0	0	0	0	0	0	0
10	Michelle	6	2	0	0	0	0	0	0	0
10	Phil	7	1	0	0	0	0	0	0	0
10	Phil	7	2	0	0	0	0	0	0	0
10	Priya	8	1	0	0	0	0	0	0	0
10	Priya	8	2	0	0	0	0	0	0	0
10	Rosie	9	1	0	0	1	1	0	0	0
10	Rosie	9	2	0	0	0.5	0	0	0	0
10	Steph	10	1	0	0	1	1	0	0	0
10	Steph	10	2	0	0	0.5	0	0	0	0
