season	baker	index	episode	tech_mean	tech_med	tech	place
10	Alice	0	1	5	5	5	0
10	Alice	0	2	3	3	1	0
10	Alice	0	3	4.33	5	7	0
10	Alice	0	4	5.25	6	8	0
10	Alice	0	5	5.4	6	6	0
10	Alice	0	6	4.67	5.5	1	0
10	Alice	0	7	4.86	6	6	0
10	Amelia	1	1	4	4	4	10
10	Amelia	1	2	6.5	6.5	9	10
10	Amelia	1	3	8	9	11	10
10	Amelia	1	4	6	6.5	0	10
10	Amelia	1	5	4.8	4	0	10
10	Amelia	1	6	4	2	0	10
10	Amelia	1	7	3.43	0	0	10
10	Dan	12	1	9	9	9	12
10	Dan	12	2	4.5	4.5	0	12
10	Dan	12	3	3	0	0	12
10	Dan	12	4	2.25	0	0	12
10	Dan	12	5	1.8	0	0	12
10	Dan	12	6	1.5	0	0	12
10	Dan	12	7	1.29	0	0	12
10	David	2	1	10	10	10	0
10	David	2	2	6	6	2	0
10	David	2	3	4.67	2	2	0
10	David	2	4	4	2	2	0
10	David	2	5	5	2	9	0
10	David	2	6	4.5	2	2	0
10	David	2	7	4.14	2	2	0
10	Helena	3	1	12	12	12	8
10	Helena	3	2	12	12	12	8
10	Helena	3	3	10.67	12	8	8
10	Helena	3	4	10.25	10.5	9	8
10	Helena	3	5	8.4	9	1	8
10	Helena	3	6	7	8.5	0	8
10	Helena	3	7	6	8	0	8
10	Henry	4	1	1	1	1	0
10	Henry	4	2	3.5	3.5	6	0
10	Henry	4	3	2.67	1	1	0
10	Henry	4	4	2.75	2	3	0
10	Henry	4	5	2.8	3	3	0
10	Henry	4	6	3	3	4	0
10	Henry	4	7	3	3	3	0
10	Jamie	11	1	13	13	13	11
10	Jamie	11	2	12	12	11	11
10	Jamie	11	3	8	11	0	11
10	Jamie	11	4	6	5.5	0	11
10	Jamie	11	5	4.8	0	0	11
10	Jamie	11	6	4	0	0	11
10	Jamie	11	7	3.43	0	0	11
10	Michael	5	1	11	11	11	0
10	Michael	5	2	7.5	7.5	4	0
10	Michael	5	3	7	6	6	0
10	Michael	5	4	7	6.5	7	0
10	Michael	5	5	7.2	7	8	0
10	Michael	5	6	7	6.5	6	0
10	Michael	5	7	6.71	6	5	0
10	Michelle	6	1	6	6	6	8
10	Michelle	6	2	7	7	8	8
10	Michelle	6	3	6.33	6	5	8
10	Michelle	6	4	6	5.5	5	8
10	Michelle	6	5	6.2	6	7	8
10	Michelle	6	6	5.17	5.5	0	8
10	Michelle	6	7	4.43	5	0	8
10	Phil	7	1	8	8	8	9
10	Phil	7	2	5.5	5.5	3	9
10	Phil	7	3	7	8	10	9
10	Phil	7	4	6.75	7	6	9
10	Phil	7	5	5.4	6	0	9
10	Phil	7	6	4.5	4.5	0	9
10	Phil	7	7	3.86	3	0	9
10	Priya	8	1	7	7	7	7
10	Priya	8	2	7	7	7	7
10	Priya	8	3	6	7	4	7
10	Priya	8	4	7	7	10	7
10	Priya	8	5	6	7	2	7
10	Priya	8	6	6.17	7	7	7
10	Priya	8	7	5.29	7	0	7
10	Rosie	9	1	2	2	2	0
10	Rosie	9	2	3.5	3.5	5	0
10	Rosie	9	3	5.33	5	9	0
10	Rosie	9	4	5	4.5	4	0
10	Rosie	9	5	5	5	5	0
10	Rosie	9	6	5	5	5	0
10	Rosie	9	7	4.43	5	1	0
10	Steph	10	1	3	3	3	0
10	Steph	10	2	6.5	6.5	10	0
10	Steph	10	3	5.33	3	3	0
10	Steph	10	4	4.25	3	1	0
10	Steph	10	5	4.2	3	4	0
10	Steph	10	6	4	3	3	0
10	Steph	10	7	4	3	4	0
