baker	key	season	place	index
Edd	0	1	1	0
Ruth	1	1	2	1
Miranda	2	1	2	2
Jasminder	3	1	3	3
David	4	1	4	4
Jonathan	5	1	5	5
Annetha	6	1	6	6
Louise	7	1	7	7
Lea	8	1	8	8
Mark	9	1	9	9
Jo	0	2	1	10
Holly	1	2	2	11
Mary-Anne	2	2	2	12
Janet	3	2	3	13
Yasmin	4	2	4	14
Jason	5	2	5	15
Robert	6	2	6	16
Ben	7	2	7	17
Ian	8	2	8	18
Urvashi	9	2	9	19
Simon	10	2	10	20
Keith	11	2	11	21
John	0	3	1	22
Brendan	1	3	2	23
James	2	3	2	24
Danny	3	3	3	25
Cathryn	4	3	4	26
Ryan	5	3	5	27
Sarah-Jane	6	3	6	28
Manisha	7	3	7	29
Stuart	8	3	8	30
Victoria	9	3	9	31
Peter	10	3	10	32
Natasha	11	3	11	33
Frances	0	4	1	34
Kimberley	1	4	2	35
Ruby	2	4	2	36
Beca	3	4	3	37
Christine	4	4	4	38
Glenn	5	4	5	39
Howard	6	4	6	40
Robert	7	4	7	41
Ali	8	4	8	42
Deborah	9	4	9	43
Mark	10	4	10	44
Luck	11	4	11	45
Toby	12	4	12	46
Nancy	0	5	1	47
Luis	1	5	2	48
Richard	2	5	2	49
Chetna	3	5	3	50
Martha	4	5	4	51
Kate	5	5	5	52
Norman	6	5	6	53
Diana	7	5	7	54
Iain	8	5	8	55
Jordan	9	5	9	56
Enwezor	10	5	10	57
Claire	11	5	11	58
Nadiya	0	6	1	59
Ian	1	6	2	60
Tamal	2	6	2	61
Flora	3	6	3	62
Paul	4	6	4	63
Mat	5	6	5	64
Alvin	6	6	6	65
Mat	7	6	7	66
Ugne	8	6	8	67
Sandy	9	6	9	68
Dorret	10	6	10	69
Marie	11	6	11	70
Stu	12	6	12	71
Candice	0	7	1	72
Andrew	1	7	2	73
Janet	2	7	2	74
Selasi	3	7	3	75
Benjamina	4	7	4	76
Tom	5	7	5	77
Rav	6	7	6	78
Val	7	7	7	79
Kate	8	7	8	80
Michael	9	7	9	81
Louise	10	7	10	82
Lee	11	7	11	83
Sophie	0	8	1	84
Kate	1	8	2	85
Steven	2	8	2	86
Stacey	3	8	3	87
Liam	4	8	4	88
Yan	5	8	5	89
Julia	6	8	6	90
James	7	8	7	91
Tom	8	8	8	92
Flo	9	8	9	93
Chris	10	8	10	94
Peter	11	8	11	95
Rahul	0	9	1	96
Kim-Joy	1	9	2	97
Ruby	2	9	2	98
Briony	3	9	3	99
Manon	4	9	4	100
Jonathan	5	9	5	101
Dan	6	9	6	102
Karen	7	9	7	103
Terry	8	9	8	104
Antony	9	9	9	105
Luke	10	9	10	106
Imelda	11	9	11	107
